word,frequency,definition
indeterminately,2.0,not definitely or precisely determined or fixed vague
imparts,7.0,"to give, convey, or grant from or as if from a store"
flexibility,5.0,capable of being flexed pliant flexible branches swaying in the breeze
tensile,1.0,capable of tension ductile
axon,2.0,a usually long and single nerve-cell process that usually conducts impulses away from the cell body — see neuron illustration
dendrite,2.0,a branching treelike figure produced on or in a mineral by a foreign mineral
intercellular,2.0,"relating to, involving, or occurring in the space between the cells of a multicellular organism or in the space between cells of closely associated unicellular microorganisms (such as bacteria)"
contractile,2.0,having or concerned with the power or property of contracting contractile proteins of muscle fibrils
filament,3.0,"a single thread or a thin flexible threadlike object, process, or appendage (see appendage sense 2)such as"
asbestos,1.0,"any of several minerals (such as chrysotile) that readily separate into long flexible fibers, that cause asbestosis and have been implicated as causes of certain cancers, and that have been used especially formerly as fireproof insulating materials"
rayon,1.0,any of a group of smooth textile fibers made from regenerated cellulose by extrusion through minute holes
indigestible,2.0,not digestible not easily digested
legumes,1.0,the fruit or seed of plants of the legume family (such as peas or beans) used for food
stimulates,6.0,"to excite to activity or growth or to greater activity animate, arouse"
peristalsis,2.0,successive waves of involuntary contraction passing along the walls of a hollow muscular structure (such as the esophagus or intestine) and forcing the contents onward
roughage,1.0,"mostly indigestible material in food (such as legumes, whole grains, and vegetables) that promotes elimination of waste from the large intestine fiber sense 1d Knowing where to get dietary fiber is important because strong evidence now links roughage to good health, weight management and a reduced risk of colon cancer and other major diseases.— Elizabeth Somer also food containing much indigestible material acting as fiber That's okay, thoughJunk food has a place in a moviegoing diet, as long as you make room for roughage elsewhere. — Ty Burr"
dietary,8.0,of or relating to a diet or to the rules of a diet
vulcanized,1.0,to subject to vulcanization
toughness,5.0,"difficult to accomplish, resolve, endure, or deal with"
fortitude,3.0,strength of mind that enables a person to encounter danger or bear pain or adversity with courage
digested,7.0,a summation or condensation of a body of informationsuch as
threadlike,7.0,"a filament, a group of filaments twisted together, or a filamentous length formed by spinning and twisting short textile fibers into a continuous strand"
airfield,3.0,an area of land from which aircraft operatesuch as
maneuvers,3.0,a military or naval movement
outfield,3.0,the part of a baseball field beyond the infield and between the foul lines
escutcheon,8.0,a defined area on which armorial bearings are displayed and which usually consists of a shield
magnetism,5.0,"a class of physical phenomena that include the attraction for iron observed in lodestone and a magnet, are inseparably associated with moving electricity, are exhibited by both magnets and electric currents, and are characterized by fields of force"
embryonic,8.0,of or relating to an embryo
commutative,4.0,"of, relating to, or showing commutation"
tiles,2.0,"a flat or curved piece of fired clay, stone, or concrete used especially for roofs, floors, or walls and often for ornamental work"
septic,2.0,"of, relating to, or causing putrefaction"
database,12.0,a usually large collection of data organized especially for rapid search and retrieval (as by a computer)
goals,21.0,the end toward which effort is directed aim The goal is high-speed rail travel.
throws,11.0,to propel through the air by a forward motion of the hand and arm
inhabiting,4.0,to occupy as a place of settled residence or habitat live in
fields,14.0,W.C. 1880–1946 originally Claude William Dukenfield American actor
batted,7.0,a stout solid stick club
impromptu,5.0,"made, done, or formed on or as if on the spur of the moment improvised"
Cyrus,2.0,424?–401 b.c. the Younger Persian prince and satrap
financier,4.0,one who specializes in raising and expending public moneys
Eugene,2.0,1663–1736 François-Eugène de Savoie-Carignan prince of Savoy and Austrian general
journalist,9.0,a person engaged in journalism
Marshall,3.0,Alfred 1842–1924 English economist
merchant,12.0,a buyer and seller of commodities for profit trader
temperament,15.0,characteristic or habitual inclination or mode of emotional response
pugnacious,1.0,having a quarrelsome or combative nature truculent
fighters,1.0,one that fightssuch as
vehemence,1.0,the quality or state of being vehement intensity
vexatious,6.0,causing vexation distressing vexatious delays
furiously,1.0,exhibiting or goaded by anger
surmount,6.0,to prevail over overcome surmount an obstacle
pugnacity,2.0,having a quarrelsome or combative nature truculent
digits,3.0,any of the Arabic numerals 1 to 9 and usually the symbol 0
textual,4.0,"of, relating to, or based on a text"
Find,2.0,to come upon often accidentally encounter found a $10 bill on the ground
similes,2.0,a figure of speech comparing two unlike things that is often introduced by like or as (as in cheeks like roses) — compare metaphor
traced,6.0,a minute and often barely detectable amount or indication
evolutions,2.0,descent with modification from preexisting species cumulative inherited change in a population of organisms through time leading to the appearance of new forms the process by which new species or populations of living things develop from preexisting forms through successive generations
personage,2.0,"a person of rank, note, or distinction"
arithmetic,12.0,"a branch of mathematics that deals usually with the nonnegative real numbers including sometimes the transfinite cardinals and with the application of the operations of addition, subtraction, multiplication, and division to them"
Can,11.0,be physically or mentally able to
conveniently,2.0,suited to personal comfort or to easy performance
complement,2.0,"something that fills up, completes, or makes better or perfect"
interstices,2.0,a space that intervenes between things
crevices,1.0,a narrow opening resulting from a split or crack (as in a cliff) fissure A lizard emerged from a crevice in the cliff …— Tony Hillerman
pores,2.0,to gaze intently
satiate,1.0,filled to satiety
fills,6.0,to put into as much as can be held or conveniently contained
infill,1.0,material that fills in something (such as a hole or the spaces between a building's structural members)
responsibilities,5.0,the quality or state of being responsiblesuch as
satiates,1.0,filled to satiety
pauses,7.0,a temporary stop
vocalist,1.0,singer entry 1
soloist,1.0,one who performs a solo
shadows,12.0,the dark figure cast upon a surface by a body intercepting the rays from a source of light
plug,26.0,a piece used to fill a hole stopper
pellicle,2.0,a thin skin or filmsuch as
lamina,7.0,a thin plate or scale layer
wrapping,5.0,something used to wrap an object wrapper
acetate,3.0,a salt or ester of acetic acid
nitrocellulose,1.0,"any of several nitric-acid esters of cellulose used especially for making explosives, plastics, and varnishes"
emulsion,3.0,a system (such as fat in milk) consisting of a liquid dispersed with or without an emulsifier in an immiscible liquid usually in droplets of larger than colloidal size
minutes,14.0,the 60th part of an hour of time 60 seconds
nitrate,3.0,a salt or ester of nitric acid
radiographs,1.0,a picture produced on a sensitive surface by a form of radiation other than visible light
competitions,4.0,the act or process of competing rivalrysuch as
precluding,1.0,to make impossible by necessary consequence rule out in advance
interlocutory,2.0,made during the progress of a legal action and not final or definitive
precludes,1.0,to make impossible by necessary consequence rule out in advance
expired,1.0,"dead, deceased —often used as a euphemistic or humorous alternative to deadA shovel, bucket, trash bags, and gloves are also useful items for cleaning up expired wildlife.— Jeffrey Price and Jeffrey Forrest… I've exercised my maternal instincts on him, doing a far better job of keeping him alive than all those expired plants now in the great compost pile in the sky.— Kerry QuinnThere, firmly lodged within the pipe and obstructing the flow of water, was a catfish. The expired creature was removed, brought on board, and mounted in the main passenger cabin for all to see.— John Laurence Busch"
